set_num,part_num,part_name,color_id,color_name,color_rgb,quantity,is_spare,element_id,part_img_url
"42212-1","32580","Axle Hose, Soft 7L","0","Black","05131D","2","false","6132744","https://cdn.rebrickable.com/media/parts/elements/6132744.jpg"
"42212-1","87994","Bar 3L","0","Black","05131D","5","false","6185316","https://cdn.rebrickable.com/media/parts/elements/6185316.jpg"
"42212-1","87994","Bar 3L","0","Black","05131D","1","true","6185316","https://cdn.rebrickable.com/media/parts/elements/6185316.jpg"
"42212-1","65578","Bar, Angled with 1 x 1 Round Plate / Stud on End","0","Black","05131D","1","true","6510193","https://cdn.rebrickable.com/media/parts/elements/6443416.jpg"
"42212-1","65578","Bar, Angled with 1 x 1 Round Plate / Stud on End","0","Black","05131D","2","false","6510193","https://cdn.rebrickable.com/media/parts/elements/6443416.jpg"
"42212-1","11090","Bar Holder with Clip","0","Black","05131D","2","false","6315887","https://cdn.rebrickable.com/media/parts/elements/6315887.jpg"
"42212-1","3386","Plate 1 x 1 x 2/3 Half Round with Side Stud","0","Black","05131D","2","false","6424674","https://cdn.rebrickable.com/media/parts/elements/6424674.jpg"
"42212-1","3710","Plate 1 x 4","0","Black","05131D","2","false","371026","https://cdn.rebrickable.com/media/parts/elements/371026.jpg"
"42212-1","2420","Plate 2 x 2 Corner","0","Black","05131D","2","false","242026","https://cdn.rebrickable.com/media/parts/elements/242026.jpg"
"42212-1","5264","Plate Round 1 x 1 with Hollow Stud and Underside Clip","0","Black","05131D","3","false","6534180","https://cdn.rebrickable.com/media/parts/elements/6534180.jpg"
"42212-1","5264","Plate Round 1 x 1 with Hollow Stud and Underside Clip","0","Black","05131D","1","true","6534180","https://cdn.rebrickable.com/media/parts/elements/6534180.jpg"
"42212-1","85861","Plate Round 1 x 1 with Open Stud","0","Black","05131D","2","false","6168646","https://cdn.rebrickable.com/media/parts/elements/6168646.jpg"
"42212-1","85861","Plate Round 1 x 1 with Open Stud","0","Black","05131D","1","true","6168646","https://cdn.rebrickable.com/media/parts/elements/6168646.jpg"
