set_num,part_num,part_name,color_id,color_name,color_rgb,quantity,is_spare,element_id,part_img_url
"42212-1","32580","Axle Hose, Soft 7L","0","Black","05131D","2","false","6132744","/rebrickable-assets/parts/6132744/part.jpg"
"42212-1","87994","Bar 3L","0","Black","05131D","5","false","6185316","/rebrickable-assets/parts/6185316/part.jpg"
"42212-1","87994","Bar 3L","0","Black","05131D","1","true","6185316","/rebrickable-assets/parts/6185316/part.jpg"
"42212-1","65578","Bar, Angled with 1 x 1 Round Plate / Stud on End","0","Black","05131D","1","true","6510193","/rebrickable-assets/parts/6510193/part.jpg"
"42212-1","65578","Bar, Angled with 1 x 1 Round Plate / Stud on End","0","Black","05131D","2","false","6510193","/rebrickable-assets/parts/6510193/part.jpg"
"42212-1","11090","Bar Holder with Clip","0","Black","05131D","2","false","6315887","/rebrickable-assets/parts/6315887/part.jpg"
"42212-1","3386","Plate 1 x 1 x 2/3 Half Round with Side Stud","0","Black","05131D","2","false","6424674","/rebrickable-assets/parts/6424674/part.jpg"
"42212-1","3710","Plate 1 x 4","0","Black","05131D","2","false","371026","/rebrickable-assets/parts/371026/part.jpg"
"42212-1","2420","Plate 2 x 2 Corner","0","Black","05131D","2","false","242026","/rebrickable-assets/parts/242026/part.jpg"
"42212-1","5264","Plate Round 1 x 1 with Hollow Stud and Underside Clip","0","Black","05131D","3","false","6534180","/rebrickable-assets/parts/6534180/part.jpg"
"42212-1","5264","Plate Round 1 x 1 with Hollow Stud and Underside Clip","0","Black","05131D","1","true","6534180","/rebrickable-assets/parts/6534180/part.jpg"
"42212-1","85861","Plate Round 1 x 1 with Open Stud","0","Black","05131D","1","true","6168646","/rebrickable-assets/parts/6168646/part.jpg"
"42212-1","85861","Plate Round 1 x 1 with Open Stud","0","Black","05131D","2","false","6168646","/rebrickable-assets/parts/6168646/part.jpg"
"42212-1","88930","Slope Brick Curved 2 x 4 x 2/3 No Studs, with Bottom Tubes","0","Black","05131D","1","false","4587844","/rebrickable-assets/parts/4587844/part.jpg"
"42212-1","11477","Slope Curved 2 x 1 No Studs [1/2 Bow]","0","Black","05131D","2","false","6047276","/rebrickable-assets/parts/6047276/part.jpg"
"42212-1","29120","Slope Curved 2 x 1 with Stud Notch Left","0","Black","05131D","1","false","6181720","/rebrickable-assets/parts/6181720/part.jpg"
"42212-1","29119","Slope Curved 2 x 1 with Stud Notch Right","0","Black","05131D","1","false","6181713","/rebrickable-assets/parts/6181713/part.jpg"
"42212-1","15068","Slope Curved 2 x 2 x 2/3","0","Black","05131D","1","false","6053077","/rebrickable-assets/parts/6053077/part.jpg"
"42212-1","3665","Slope Inverted 45° 2 x 1","0","Black","05131D","2","false","366526","/rebrickable-assets/parts/366526/part.jpg"
"42212-1","32192","Technic Axle and Pin Connector Angled #4 - 135°","0","Black","05131D","2","false","6262897","/rebrickable-assets/parts/6262897/part.jpg"
"42212-1","32015","Technic Axle and Pin Connector Angled #5 - 112.5°","0","Black","05131D","1","false","6271346","/rebrickable-assets/parts/6271346/part.jpg"
"42212-1","4450","Technic Axle and Pin Connector Angled #7 - 168.75°","0","Black","05131D","6","false","6523971","/rebrickable-assets/parts/6523971/part.jpg"
"42212-1","6536","Technic Axle and Pin Connector Perpendicular","0","Black","05131D","14","false","653626","/rebrickable-assets/parts/653626/part.jpg"
"42212-1","42003","Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes","0","Black","05131D","2","false","6273708","/rebrickable-assets/parts/6273708/part.jpg"
"42212-1","32184","Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole","0","Black","05131D","10","false","6276951","/rebrickable-assets/parts/6276951/part.jpg"
"42212-1","69819","Technic Axle and Pin Connector Perpendicular Double Split [Reinforced]","0","Black","05131D","8","false","6349281","/rebrickable-assets/parts/6349281/part.jpg"
"42212-1","59443","Technic Axle Connector Smooth [with x Hole + Orientation]","0","Black","05131D","1","false","6084612","/rebrickable-assets/parts/6084612/part.jpg"
"42212-1","18651","Technic Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle","0","Black","05131D","11","false","6089119","/rebrickable-assets/parts/6089119/part.jpg"
"42212-1","32525","Technic Beam 1 x 11 Thick","0","Black","05131D","1","false","6029578","/rebrickable-assets/parts/6029578/part.jpg"
"42212-1","73507","Technic Beam 1 x 11 Thick with Alternating Holes","0","Black","05131D","2","false","6330585","/rebrickable-assets/parts/6330585/part.jpg"
"42212-1","41677","Technic Beam 1 x 2 Thin","0","Black","05131D","15","false","6338428","/rebrickable-assets/parts/6338428/part.jpg"
"42212-1","32523","Technic Beam 1 x 3 Thick","0","Black","05131D","2","false","4142822","/rebrickable-assets/parts/4142822/part.jpg"
"42212-1","6632","Technic Beam 1 x 3 Thin","0","Black","05131D","10","false","663226","/rebrickable-assets/parts/663226/part.jpg"
"42212-1","32316","Technic Beam 1 x 5 Thick","0","Black","05131D","3","false","4142135","/rebrickable-assets/parts/4142135/part.jpg"
"42212-1","11478","Technic Beam 1 x 5 Thin with Axle Holes on Ends","0","Black","05131D","5","false","6327028","/rebrickable-assets/parts/6327028/part.jpg"
"42212-1","32524","Technic Beam 1 x 7 Thick","0","Black","05131D","2","false","4495935","/rebrickable-assets/parts/4495935/part.jpg"
"42212-1","71708","Technic Beam 2 x 3 L-Shape with Quarter Ellipse Thick","0","Black","05131D","6","false","6326047","/rebrickable-assets/parts/6326047/part.jpg"
"42212-1","3167","Technic Beam 2 x 3 Thick [90° Offset Centre Beam Hole]","0","Black","05131D","2","false","6563620","/rebrickable-assets/parts/6563620/part.jpg"
"42212-1","32526","Technic Beam 3 x 5 L-Shape Thick","0","Black","05131D","2","false","4142823","/rebrickable-assets/parts/4142823/part.jpg"
"42212-1","4526","Technic Beam Frame 3 x 13 with 1 Center Cross Beams, 2 Openings Thick","0","Black","05131D","2","false","6452876","/rebrickable-assets/parts/6452876/part.jpg"
"42212-1","6541","Technic Brick 1 x 1 with Pin Hole","0","Black","05131D","2","false","654126","/rebrickable-assets/parts/654126/part.jpg"
"42212-1","32270","Technic Gear 12 Tooth Double Bevel","0","Black","05131D","2","false","4177431","/rebrickable-assets/parts/4177431/part.jpg"
"42212-1","18575","Technic Gear 20 Tooth Double Bevel with Axle Hole Type 1 [+ Opening]","0","Black","05131D","1","false","6346535","/rebrickable-assets/parts/6346535/part.jpg"
"42212-1","87761","Technic Gear Rack 1 x 7 with Axle and Pin Holes","0","Black","05131D","1","false","6327430","/rebrickable-assets/parts/6327430/part.jpg"
"42212-1","24116","Technic Panel Curved and Bent 6 x 3","0","Black","05131D","2","false","6268012","/rebrickable-assets/parts/6268012/part.jpg"
"42212-1","2403","Technic Panel Fairing #10 Medium Triangle Smooth","0","Black","05131D","1","false","6510087","/rebrickable-assets/parts/6510087/part.jpg"
"42212-1","11946","Technic Panel Fairing #21 5L Small Smooth, Side B","0","Black","05131D","1","false","6316923","/rebrickable-assets/parts/6316923/part.jpg"
"42212-1","11947","Technic Panel Fairing #22 5L Small Smooth, Side A","0","Black","05131D","1","false","6319983","/rebrickable-assets/parts/6319983/part.jpg"
"42212-1","89679","Technic Panel Fairing 2 x 1 x 1","0","Black","05131D","10","false","6396456","/rebrickable-assets/parts/6396456/part.jpg"
"42212-1","71682","Technic Panel Fairing 2 x 3 x 1","0","Black","05131D","5","false","6331026","/rebrickable-assets/parts/6331026/part.jpg"
